Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Fix versions,Components,Components,Components,Components,Components,Components,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Polaris work item link),Outward issue link (Polaris work item link),Outward issue link (Polaris work item link),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Work item split),Inward issue link (Work item split),Outward issue link (Work item split),Outward issue link (Work item split),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affected services),Custom field (Approvals),Custom field (Business Case),Custom field (Business Requestor),Custom field (Category),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text (view-only)),Custom field (Development),Custom field (Epic Colour),Custom field (Epic Name),Custom field (Epic Score),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Functional Unit),Custom field (GEP Jira Id),Custom field (Goals),Custom field (Issue color),Custom field (Justification),Custom field (Locked forms),Custom field (Number of user affected?),Custom field (Open forms),Custom field (Perceived Value),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
NFR-24 Data Storefront should be constructed in a way to minimize network traffic or API calls to FreshService ,DF-476,38712,Sub-task,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,,,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 3:16 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@757d45a,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03plk:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38675,DF-450,Data Storefront Infrastructure,To Do,18/Jun/25 3:16 PM
NFR-23 Data Storefront should perform it’s actions quickly as would be expected of a site of it’s use ,DF-475,38711,Sub-task,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,,,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 3:16 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@34afd259,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03plc:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38675,DF-450,Data Storefront Infrastructure,To Do,18/Jun/25 3:16 PM
NFR-22 System will give customer straightforward and informative error messages in the case of partial or whole system failure ,DF-474,38710,Sub-task,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,,,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 3:15 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1032348,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pl4:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38675,DF-450,Data Storefront Infrastructure,To Do,18/Jun/25 3:15 PM
NFR-21 System will support caching of customer PARs to account for issues with FreshService or Orchestration Server,DF-473,38709,Sub-task,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,,,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 3:15 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,Note: this task may be required based on usage and should be explored from a design perspective,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2284d7e7,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pkw:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38675,DF-450,Data Storefront Infrastructure,To Do,18/Jun/25 3:15 PM
NFR-20 Updates and maintenance would be scheduled outside of standard business hours ,DF-472,38708,Sub-task,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,,,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 3:14 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a83934f,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pko:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38675,DF-450,Data Storefront Infrastructure,To Do,18/Jun/25 3:14 PM
"NFR-18 Transactions for requests, integrations, etc will be logged and easily accessible by support ",DF-471,38707,Task,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 3:10 PM,24/Jun/25 10:19 AM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF-436,DF-437,DF-440,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3db788c4,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pkg:,,,,,,,,,,,,,,,,,,20/Jun/25 10:12 AM;712020:6893c53e-0a1a-4b92-bc57-83ae6941b487;[~accountid:712020:6893c53e-0a1a-4b92-bc57-83ae6941b487] Mike will help to curate these records,,,,,,,,,,,,,37301,DF-107,Data Storefront,To Do,18/Jun/25 3:10 PM
NFR-19 Website monitoring software should notify support of service outages (SolarWinds) ,DF-470,38706,Sub-task,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,,,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 3:09 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@13c35e55,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pk8:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38675,DF-450,Data Storefront Infrastructure,To Do,18/Jun/25 3:09 PM
NFR-17 High availability during standard business hours ,DF-469,38705,Sub-task,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,,,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 3:09 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@38669154,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pk0:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38675,DF-450,Data Storefront Infrastructure,To Do,18/Jun/25 3:09 PM
Build Pipeline for S&P Data,DF-468,38703,Story,Rejected,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Jacob McCarthy,712020:b9c86c9f-13e4-453a-9ce6-c44710abc25a,Scott Drennan,712020:32c2239a-0e07-4ec9-9631-3c8768666b03,Scott Drennan,712020:32c2239a-0e07-4ec9-9631-3c8768666b03,18/Jun/25 3:02 PM,17/Sep/25 12:34 PM,12/Aug/25 8:02 AM,,,,,Data Analysis,Data Ingestion,Data Transformation,,,,,0,Fundamentals,,,,,,Melanie Quon,Scott Drennan,,,,,,,712020:af41946c-f3f6-4122-92c4-d0666a71979f,712020:32c2239a-0e07-4ec9-9631-3c8768666b03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF-467,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@252e22b3,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pjk:,,,,,,,,3.0,,,,,,,,2025-08-12 19:37:58.391,,12/Aug/25 1:37 PM;712020:af41946c-f3f6-4122-92c4-d0666a71979f;Replaced by DF-624,,,,,,,,,,,,,37122,DF-18,Fundamentals Dashboard,Done,12/Aug/25 1:37 PM
Build Pipeline for Woodmac Data,DF-467,38701,Story,Rejected,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Jacob McCarthy,712020:b9c86c9f-13e4-453a-9ce6-c44710abc25a,Conrad_Yarmoloy,712020:501c32c1-af6e-4703-9591-0ffcdc91e92a,Scott Drennan,712020:32c2239a-0e07-4ec9-9631-3c8768666b03,18/Jun/25 2:59 PM,17/Sep/25 12:34 PM,12/Aug/25 8:03 AM,,,,,Data Analysis,Data Ingestion,Data Transformation,,,,,0,Fundamentals,,,,"We need to develop an automated ingestion pipeline for Woodmac data. The data arrives as a CSV file every six months, likely by email. We need to define a process to collect the email, grab the file, deposit the file in a controlled storage location, and ingest the CSV into Databricks.",,Melanie Quon,Scott Drennan,,,,,,,712020:af41946c-f3f6-4122-92c4-d0666a71979f,712020:32c2239a-0e07-4ec9-9631-3c8768666b03,,,,,,,,,,,,,,,,,,,,,,,,,,DF-468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f1effbc,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pj4:,,,,,,,,3.0,,,,,,,,2025-08-12 19:37:47.324,,12/Aug/25 1:37 PM;712020:af41946c-f3f6-4122-92c4-d0666a71979f;Replaced by DF-624,,,,,,,,,,,,,37122,DF-18,Fundamentals Dashboard,Done,12/Aug/25 1:37 PM
Update README,DF-466,38697,Story,Done,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Pauline Telan,6230ae1375f257006a99beed,Pauline Telan,6230ae1375f257006a99beed,Pauline Telan,6230ae1375f257006a99beed,18/Jun/25 2:39 PM,17/Sep/25 12:34 PM,,,,Wapiti Emissions v1,,Data Transformation,,,,,,,0,Emissions,Sustainability,,,,,Pauline Telan,,,,,,,,6230ae1375f257006a99beed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@33d956eb,,,,,0.0,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-06-20T10:07:26.686-0600"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""bitbucket"":{""count"":1,""name"":""Bitbucket Cloud""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,,0|i03pi8:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37036,DF-1,Wapiti Emissions Workflows,Done,24/Jun/25 8:52 AM
NFR-16 Data Storefront will have tabs for Data Storefront and My Requests,DF-465,38694,Sub-task,In Progress,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Eric Mah,712020:ab2ecfc6-ee4a-4da4-8d2c-bf5a58b4b80f,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 2:20 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,"Tab controls should be shown in a common and modern way such as a navigation item in the left control bar or in the top right section.

!image-20250618-205457.png|width=1500,height=1032,alt=""image-20250618-205457.png""!",,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/Jun/25 2:59 PM;712020:6893c53e-0a1a-4b92-bc57-83ae6941b487;image-20250618-205457.png;https://keyera.atlassian.net/rest/api/3/attachment/content/26750,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@39451b34,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03phk:,,,,,,,,,,,,,,,,,,12/Sep/25 10:04 AM;712020:6893c53e-0a1a-4b92-bc57-83ae6941b487;Discussing the idea of changing the My Requests to a My Products or My Favourites,,,,,,,,,,,,,38687,DF-458,Data Storefront Development,In Progress,12/Sep/25 10:04 AM
NFR-15 Data Storefront will contain a landing page ,DF-464,38693,Sub-task,User Testing,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Eric Mah,712020:ab2ecfc6-ee4a-4da4-8d2c-bf5a58b4b80f,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 2:19 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,"Mock up solely for idea.

!image-20250618-210536.png|width=1500,height=1032,alt=""image-20250618-210536.png""!",,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/Jun/25 3:05 PM;712020:6893c53e-0a1a-4b92-bc57-83ae6941b487;image-20250618-210536.png;https://keyera.atlassian.net/rest/api/3/attachment/content/26751,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@f187e12,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03phc:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38687,DF-458,Data Storefront Development,In Progress,12/Sep/25 10:03 AM
NFR-13 Data Menu will include contact mechanism for support (form or email address) ,DF-463,38692,Sub-task,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,,,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 2:18 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7fe43e76,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03ph4:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38687,DF-458,Data Storefront Development,To Do,18/Jun/25 2:18 PM
NFR-12 Data Menu design will be modern and follow standard best practices ,DF-462,38691,Sub-task,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,,,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 2:18 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b2c1170,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pgw:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38687,DF-458,Data Storefront Development,To Do,18/Jun/25 2:18 PM
NRF-11 Data Menu will show cards representing the available products grouped into easy-to-understand categories using product meta data ,DF-461,38690,Sub-task,User Testing,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Eric Mah,712020:ab2ecfc6-ee4a-4da4-8d2c-bf5a58b4b80f,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 2:18 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@cbf5c66,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pgo:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38687,DF-458,Data Storefront Development,In Progress,12/Sep/25 10:03 AM
NFR-10 Data Menu will have a search box (potentially Gen AI based),DF-460,38689,Sub-task,User Testing,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Eric Mah,712020:ab2ecfc6-ee4a-4da4-8d2c-bf5a58b4b80f,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 2:17 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@262137ea,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pgg:,,,,,,,,,,,,,,,,,,12/Sep/25 10:02 AM;712020:6893c53e-0a1a-4b92-bc57-83ae6941b487;AI based search box likely un-needed as would be too complex and current search box is sufficient.,,,,,,,,,,,,,38687,DF-458,Data Storefront Development,In Progress,12/Sep/25 10:02 AM
"NFR-9 Data Menu will allow the customer to filter, sort, and search the available products ",DF-459,38688,Sub-task,User Testing,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Eric Mah,712020:ab2ecfc6-ee4a-4da4-8d2c-bf5a58b4b80f,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 2:16 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@15152b2e,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pg8:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38687,DF-458,Data Storefront Development,In Progress,12/Sep/25 9:59 AM
Data Storefront Development,DF-458,38687,Story,In Progress,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 2:16 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b6a1946,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pg0:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37301,DF-107,Data Storefront,In Progress,18/Jun/25 5:31 PM
NFR-3 Integration between DUC+ and FreshService secured ,DF-457,38686,Sub-task,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,,,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 2:12 PM,23/Jun/25 9:35 AM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2e367b5f,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pfs:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38666,DF-441,FR-7 FreshService will import a list of product items from the Databricks Unity Catalog Plus (DUC+) via flat file integration every day at 4:30 am ,To Do,18/Jun/25 2:13 PM
NFR-8 Data Menu code will be securely stored in a code repository ,DF-456,38685,Sub-task,Backlog,DF,Data Foundations,software,Lee Pattison,61d60cf3e7637900680e44d0,Jira Project space for the Data Foundations project. This is the collection point for tracking work items and development.,https://keyera.atlassian.net/wiki/spaces/DF/,Medium,,,,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,Mike Hughesman,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,18/Jun/25 2:12 PM,17/Sep/25 12:34 PM,,,,,,Data Storefront,,,,,,,0,,,,,,,Mike Hughesman,,,,,,,,712020:6893c53e-0a1a-4b92-bc57-83ae6941b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@76f440a1,,,,,0.0,,{},,,,,,,,,,,,,,,,,0|i03pfk:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38675,DF-450,Data Storefront Infrastructure,To Do,18/Jun/25 2:12 PM
