Key,Key,Summary,Summary_suggested,Issue Type,Status,Assignee,Priority,Story Points,Epic Link,Fix Version/s,Labels,Components,flag_missing_ac,flag_no_estimate,flag_no_owner,flag_vague_summary,groomability_score,AC_suggested,Description,Description_suggested
DF-77,37213.0,Sharing the Dataset with End User,Sharing the Dataset with End User,Sub-task,Done,Dhruv Modi,Medium,,,,,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta",,"Problem Statement:

Goal / Outcome:

Scope:
- 

Out of Scope:
- 

Acceptance Criteria:
1) Given <state> When <action> Then <result>
2) Given <state> When <action> Then <result>

Data / Interfaces:

Dependencies:

Risks & Assumptions:

Definition of Done:
- AC pasan en dev/QA
- Docs actualizadas (link)
- Alertas/monitoring (si aplica)
"
DF-76,37212.0,Incremental Refresh,Incremental Refresh,Sub-task,Done,Dhruv Modi,Medium,,,,,Data Ingestion,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta",,"Problem Statement:

Goal / Outcome:

Scope:
- 

Out of Scope:
- 

Acceptance Criteria:
1) Given <state> When <action> Then <result>
2) Given <state> When <action> Then <result>

Data / Interfaces:

Dependencies:

Risks & Assumptions:

Definition of Done:
- AC pasan en dev/QA
- Docs actualizadas (link)
- Alertas/monitoring (si aplica)
"
DF-75,37211.0,"Optimize the Visual, Queries, Tables","Optimize the Visual, Queries, Tables",Sub-task,Done,Dhruv Modi,Medium,,,,,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta",,"Problem Statement:

Goal / Outcome:

Scope:
- 

Out of Scope:
- 

Acceptance Criteria:
1) Given <state> When <action> Then <result>
2) Given <state> When <action> Then <result>

Data / Interfaces:

Dependencies:

Risks & Assumptions:

Definition of Done:
- AC pasan en dev/QA
- Docs actualizadas (link)
- Alertas/monitoring (si aplica)
"
DF-74,37210.0,Replicate and combine all report into one report,Replicate and combine all report into one report,Sub-task,Done,Dhruv Modi,Medium,,,,,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta",,"Problem Statement:

Goal / Outcome:

Scope:
- 

Out of Scope:
- 

Acceptance Criteria:
1) Given <state> When <action> Then <result>
2) Given <state> When <action> Then <result>

Data / Interfaces:

Dependencies:

Risks & Assumptions:

Definition of Done:
- AC pasan en dev/QA
- Docs actualizadas (link)
- Alertas/monitoring (si aplica)
"
DF-73,37209.0,Mashed Report - PBI,Mashed Report - PBI,Story,Done,Dhruv Modi,Medium,,,,Measurement,Data Analysis,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","Working on Combining the Mashed Report for Asset Area, instead of individual report for each Asset Area.",
DF-72,37208.0,"Define, Create, and Load Metadata for Data Products","Define, Create, and Load Metadata for Data Products",Story,Approved to Start,Svetlana Garaev,Low,,,,CommercialOps,Platform Management,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","For all gold tables created for the data product:

# Define and validate metadata with the business (use the template found at: [TM-Data Foundations - Documents|https://keyeracorp.sharepoint.com/sites/TM-DataFoundations/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FTM%2DDataFoundations%2FShared%20Documents%2FGeneral%2FBusiness%20Engagement%20%2D%20Metadata%20Output&p=true&ga=1&xsdata=MDV8MDJ8fDMxN2ZmODI2YjBmODQ4OTQ4ZmI4MDhkZDg5YTNkNDkxfDZlZjQ5YjFkZWZkNTQ5MzNiMzdjNWUxNWMxYjEwNTM2fDB8MHw2Mzg4MTgwNTg4OTU0NjIzMjh8VW5rbm93bnxWR1ZoYlhOVFpXTjFjbWwwZVZObGNuWnBZMlY4ZXlKV0lqb2lNQzR3TGpBd01EQWlMQ0pRSWpvaVYybHVNeklpTENKQlRpSTZJazkwYUdWeUlpd2lWMVFpT2pFeGZRPT18MXxMMk5vWVhSekx6RTVPbTFsWlhScGJtZGZUakpLYUU1SFdUTk9SRkYwVDBScmVVNTVNREJPZWswelRGZEthMDFxU1hSTmFsSnNUWHBqTWsxcVZtbFpha0V5UUhSb2NtVmhaQzUyTWk5dFpYTnpZV2RsY3k4eE56UTJNakE1TURnNE16RTR8OWM5MzNkOGU2ZDZhNDE3ZjJkNDQwOGRkODlhM2Q0OGZ8ODU1MDU1NDRhZGY3NGI5MmI2ZDNiYmMwYzUxZmY3ZTg%3D&sdata=emdxOFVidXhKS040bmp4N3o5TUQwd29FRFc3WUxRSkEvZjlHaHNTcjM0VT0%3D&ovuser=6ef49b1d-efd5-4933-b37c-5e15c1b10536%2CScott_Drennan%40keyera.com]).
## Table and Column descriptions.
## Table:
### Data Sensitivity Classification
### Retention Policy
### Quality Requirements
### PII Flag
### Data Owner
### Data Steward
# Load metadata into Unity Catalog.",
DF-71,37207.0,Create FreshService Catalog Item(s) and Provisioning Workflows - Logistics,Create FreshService Catalog Item(s) and Provisioning Workflows - Logistics,Story,Done,Jordan Richter,Low,,,,CommercialOps,FreshService,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","# Freshservice catalog items and approval workflows must be created for:
## AD groups identified in the Business User Access Package; approver should be the Data Steward.
## AD groups identified in the Data Product Access Package; approver should be the Data Steward.

Note: In general this will result in 3 Freshservice catalog items:

# Viewer access to the data stored in a specific Unity Catalog location (for Silver and/or Gold data).
# Viewer access to the PowerBI apps and/or Databricks Dashboards created.
# Analyst access to the appropriate business team Databricks workspace, Power BI workspace, Unity Catalog locations, and Databricks compute resources.",
DF-70,37206.0,Create Business User Access Package,Create Business User Access Package,Story,In Progress,Dhruv Modi,Low,,,,CommercialOps,Entra/Active Directory,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","Tasks related to provisioning data analyst access to a given data product are grouped into a “Business User Access Package.” The intention is to ensure that the business is equipped to quickly and easily take advantage of every new data product delivered. [See the project Technical Standards for more information.|https://keyera.atlassian.net/wiki/spaces/DF/pages/19104642/Technical+Standards#Business-User-Access-Package]

# Create a single internal, developer APP AD group (e.g., SG_ALL_IT_DF_*<business_team_abbrv>*_ALL_APPS_DEVELOPER_*<IN|CF>*) to secure the PowerBI workspace, the compute clusters, and the writable unity catalog location.
## Note: This is required per team, not per data product.
# Create a PowerBI workspace for the business team to publish and share visualizations created in Power BI.
# Create a Unity Catalog location (e.g., keyera_sandbox_*<business_team>*) to allows the business team to save queries, notebooks, and tables within the Databricks (Lakehouse-Production) workspace.
# Create required compute clusters (SQL and General Compute) specific to the business team allowing read and write, attached to the appropriate workspace. Clusters must be tagged (at minimum) with {{""cost_centre"" = ""<business_team>""}}. Cost policies must be applied to each cluster limiting usage to CAD $100 / day / cluster.",
DF-69,37205.0,Create Data Product Access Package,Create Data Product Access Package,Story,Done,Dhruv Modi,Low,,,,CommercialOps,Entra/Active Directory,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","# Create a single viewer AD group (e.g., SG_ALL_IT_DF_*<business_team_abbrv>*_ALL_DATA_VIEWER_*<IN|CF>*) to secure viewer access to the data in Unity Catalog (e.g., keyera_*<business_team>_<env>*).
# Create a single viewer AD group (e.g., SG_ALL_IT_DF_*<business_team_abbrv>*_ALL_APP_VIEWER_*<IN|CF>*) to secure viewer access to the Power BI application or any Databricks Dashboards.",
DF-68,37204.0,Measurement WellTrak Calibrations and Inspections List,Measurement WellTrak Calibrations and Inspections List,Epic,Backlog,,Medium,,,,Measurement,,True,True,True,False,35,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","In WellTrak, FMCs can review completed jobs with the relevant Job/Run Data.  provide this dataset in Databricks for FMC such as myles to be able to review in list or pie chart

*GOLD PRODUCTS:*

* Calibration List/Report
** {noformat}-- find all runs for specific job -- mod for all todo: rename col in sql or merge col name with metadata xls
select 
	job1.JOBINSTANCEID
	,job1.ASSETID
	,job1.* 
	,calepi1.ASSETID
	,calepi1.timestamp
	,calepi1.*
	,calrun1.*
from TBLJOBINSTANCE job1
left join TBLCALIBRATIONEPISODE calepi1 on calepi1.FK_JOBID = job1.JOBINSTANCEID
left join TBLCALIBRATIONRUNS calrun1 on calrun1.ASSETID = job1.ASSETID and calepi1.TIMESTAMP = calrun1.TIMESTAMP
where job1.JOBINSTANCEID = 'MC-OCU02-1794'{noformat}
** results:
*** !image-20250512-233602.png|width=1496,height=925,alt=""image-20250512-233602.png""!

* Inspection List/Report

NOTE: out of scope: PROVE data

*TABLES*:

* select * from TBLJOBINSTANCE
* select * from TBLCALIBRATIONEPISODE
* select * from TBLCALIBRATIONRUNS
* select * from TBLINSPEPISODE
* select * from TBLINSPANSWER

*STATIC DIMENSION DATA*:

* schema.dat
** this is the dimensions for all the enum codes in the db … ex ENJOBTYPE=1000 in db is defined as 1000=”INSPECTION”
** note: welltrak is sqlite so thats why the dims are csv dat and not in db/table



*First Use Case:* 

* Myles can review all the Calibrations completed this week in list view with the results in grid
* Myles can export previous calibration results 



*EFFORT:* 

once the tables are moved, creating  the Calibrations Gold List should be straightforward.



NOTES: 

* i beleive jeff initially asked:
* for sql svc acct : [https://keyera.freshservice.com/a/tickets/288821?current_tab=details|https://keyera.freshservice.com/a/tickets/288821?current_tab=details] 
* for these tables: [TBLPROVEEPISODE] and [TBLCALIBRATIONEPISODE] and [TBLCALIBRATIONRUNS] 
** we will need the schema.dat for dimensiotns and jobinstance tbl too to get the maximo wo#",
DF-67,37203.0,write query to generate metatdata for API Object Structures,write query to generate metatdata for API Object Structures,Task,Backlog,,Low,,,,Maximo,Data Transformation,True,True,True,False,35,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","will need to get from obectstructure the table/col and get the mattribute value

est 2hr

not required for initial table and golds to prod



can either get it from the jsonschema for the object as we iterate for example:

 [http://mxdev6.keyera.com/maximo/oslc/jsonschemas/key_eventqbr?_lid=mxintadm&_lpwd=mxintadm|http://mxdev6.keyera.com/maximo/oslc/jsonschemas/key_eventqbr?_lid=mxintadm&_lpwd=mxintadm]

or 

we will need to add these 3 tables, and then join in the MAXINTOBJDETAIL to the MAXATTRIBUTE using the MAXRELATIONSHIP (replace : with sourcetable.columname)",
DF-66,37202.0,write query to generate metadata for base tables -> unity catalog++ metada gen?,write query to generate metadata for base tables -> unity catalog++ metada gen?,Task,Deploy,Jonathan Yun,Medium,,,,Maximo,Data Transformation,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","this is to provide each table with the “xls” unity catalog data.  

using maxobjcfg and maxatribute to get the info.  todo: populate each table with LongDescription to use to describe/update/unitycatalog each table.  

TODO: wasnt able to generate the sql select in a single string so its a union for now

TODO: execute it for each table we are replaicating it for to populate the stuff we need to pop

!image-20250620-162541.png|width=696,height=762,alt=""image-20250620-162541.png""!



{noformat}/* 
PURPOSE: script generate, per table, metadata for maximo toable to load into databricks unity catalog
maxattribute is essentially the shcema for maximo db.  
it would be equiv or more than unity catalog in terms of metadata.  

-- create select statement from  attr table

NOTES:
- i havent seen what the unity catalog looks like and or how it is populated.  at present ppl pop via ui i think based on xls sheet or they create a script based on xls

revision
2025feb jy initial revision
2025june jy update for multi table and col specific to match the xls
2025jun20 jy added details from maxobject.  will get the headerdescription from long description. 
	TODO: populate the ld for tables we dont have defined. 
	note: im not typing it into xls just so we can type it into another xls to paste into another table in databricks/unitycatalog.  someone can copy paste this
TODO: to be fit for UNITY use
*/

declare @tbl nvarchar(100) ='TICKET';
declare @sqlquery as nvarchar(max);

-- get table info 
-- todo: populate the long description with bizness info as required
select 
	objectname objectname
	,description object_description
	,ld1.ldtext  object_description_ld
	,eauditenabled
	,classname
	,isview
	,persistent
	-- ,*
from MAXOBJECTCFG 
	left join longdescription ld1 on ld1.ldownertable = 'MAXOBJECTCFG' and ld1.ldownercol = 'DESCRIPTION' and ld1.ldkey = maxobjectid
where objectname = @tbl

select 
	--*,
	objectname
	,attributename
	,alias
	,title as ui_title
	,remarks as ui_f1description
	,attributeno
	,maxtype as data_type
	,length as data_length
	,required
	,persistent
	,primarykeycolseq
	,domainid
	,sameasobject
	,sameasattribute

from maxattribute 
where objectname = @tbl


-- generate pastable sql to 
select 'SELECT ' as SQLQUERY
UNION ALL 
(select 	
		--concat(',', attributename) as columnonly --, ' as ''', title,'''') 
		concat(',', attributename, ' as ''', objectname, '_', upper(replace(title,' ', '_')),'''') 
	from maxattribute
	where objectname = @tbl
	and persistent = 1
)
UNION ALL 
select concat('FROM ', @tbl)

-- generate executable string

select @sqlquery =
	'SELECT '
	+ concat(',', attributename, ' as ''', objectname, upper(replace(title,' ', '_')),'''\n') 
		from maxattribute
		where objectname = @tbl
		and persistent = 1


	
select @sqlquery{noformat}",
DF-65,37201.0,gold model data: enterprise_<env>.gold_health_safety.event_list,gold model data: enterprise_<env>.gold_health_safety.event_list,Story,Deploy,Jonathan Yun,Medium,,,,Maximo,Data Transformation,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","in datbricks, create gold level dataset Event List 

TODO: attach the xls metadata here

note: if the end result gold table is going to be called eventlist_incident, we may not need to prefix columns as incident_ – need to see how the tables are setup/selected from

SQL:

{code:sql}/* dbk_eventlist
2025mar jy extracted from maximo birt report key_eventlist.rptdesign
	commented out some sections for notif and related record
	named all cols with prefix of obj and friendly name
*/
select 
	incident.ticketid as incident_Event
	,incident.key_event_date as incident_EventDate
	,incident.key_event_type as incident_EventType
	,incident.location as incident_Location
	,incident.description as incident_Summary
	,isnull(longdescription.ldtext, '') as incident_Details 
	-- NOT USED -- ,incident.key_actriskrank as incident_ActualRiskRank
	,incident.PLUSGACTCONSQ as incident_ActualConsequence
	,incident.PLUSGACTCONSQSEVR as incident_ActualSeverity
	,incident.key_potriskrank as incident_PotentialRiskRank
	,incident.key_psm as incident_ProcessSafety
	,incident.key_project as incident_CapitalProject
	-- NOT USED	-- ,incident.key_subevent as incident_SubEvent
	,incident.KEY_INTEGRITY  as incident_Integrity
	,incident.key_event_cat as incident_Category
	,ticketspec2contvend.tablevalue incident_ContractingCompany
	,substring(ticketspec1workertype.alnvalue,6,99) as  incident_ticketspec_WorkerType  
	,iif(ticketspec1workertype.alnvalue like '%contractor%', companies1.name , '') as incident_ContractingCompanyName
	,incident.reportedby as incident_ReportedBy
	,incident.reportdate as incident_ReportDate
	,incident.status as incident_Status
	,incident.owner as incident_Owner
	,incident.ownergroup as incident_AssignedOwnerGroup
	,isnull(ldactiontaken.ldtext, '') as actiontakencomment_ld

	/* 2025apr7 jy -- worklogs commented for now because we need to either 'group' them or concat them*/
	--,isnull('[' +convert(nvarchar,worklog.createdate,101) +' ' + worklog.createby + '] ' + isnull(worklog.description, ''),'') as worklogs 
	--,isnull(worklog_ld.ldtext,'') as worklogs_ld 

	/* 2025apr7 jy --commented section from tables not repl */
	--,stuff((select  
	--	concat(iif(key_external=1,',[REPORTED]',',') ,  key_regulator ) 
	--	from KEY_REGULATORY_NOTIF  
	--	where 1=1   
	--	and KEY_REGULATORY_NOTIF.ticketid=incident.ticketid 
	--	FOR XML PATH('')  
	--	),1,1,'') as EVENT_EXTERNAL_AGENCIES  
	--,(select 
	--	concat(relatedrecclass,': ', relatedreckey, '\n')
	--	from RELATEDRECORD 
	--	where 1=1  
	--	and RELATEDRECORD.recordkey=incident.ticketid and RELATEDRECORD.class = 'INCIDENT'
	--	FOR XML PATH('') 
	--	) as EVENT_RELATEDRECORDS

	/* CORRECTIVE ACTIONS */
	,woactivity.wonum  as ca_CorrectiveAction
 	,woactivity.description  as ca_Summary
 	,woactivity.key_origclass             AS ca_origrecordclass  
 	,woactivity.location  as ca_Location
 	,substring(woactivity.location, 1, 3) AS CA_Facility  
 	,woactivity.status  as CA_STATUS
 	,woactivity.key_critical_action   as ca_CriticalToHSE
 	,woactivity.owner  as ca_Owner
-- 	,woactivity.ownergroup  as ca_OwnerGroup
 	,woactivity.targcompdate  as ca_TargetFinish
 	,woactivity.key_assignee  as ca_Assignee
 from incident   
	left join longdescription on incident.ticketuid = longdescription.ldkey and longdescription.ldownertable = 'TICKET' and longdescription.ldownercol = 'DESCRIPTION'  
	left join longdescription ldactiontaken on incident.ticketuid = ldactiontaken.ldkey and ldactiontaken.ldownertable = 'TICKET' and ldactiontaken.ldownercol = 'PLUSGACTIONTAKENCOMMENT'  
	left join ticketspec ticketspec1workertype on ticketspec1workertype.refobjectid = incident.ticketuid and ticketspec1workertype.refobjectname = 'INCIDENT' and ticketspec1workertype.class = 'INCIDENT' and ticketspec1workertype.assetattrid = 'WORKERTYPE'  
	left join ticketspec ticketspec2contvend on ticketspec2contvend.refobjectid = incident.ticketuid and ticketspec2contvend.refobjectname = 'INCIDENT' and ticketspec2contvend.class = 'INCIDENT' and ticketspec2contvend.assetattrid = 'CONTVEND'  
	left join companies companies1 on companies1.company = ticketspec2contvend.tablevalue and companies1.orgid = ticketspec2contvend.orgid  
	--left join worklog on worklog.recordkey = incident.ticketid and worklog.class = 'INCIDENT' 
	--left join longdescription worklog_ld on worklog.worklogid = worklog_ld.ldkey and worklog_ld.ldownertable = 'WORKLOG' and worklog_ld.ldownercol = 'DESCRIPTION' 
	left join woactivity ON woactivity.origrecordid = incident.ticketid and woactivity.origrecordclass='INCIDENT' 
 where 1=1  
	and incident.class = 'INCIDENT'  
	and key_actriskrank is  null
--	and incident.ticketid in( '46784','43916')
 	--and incident.ticketid in( '15291', '14268', '14904','30957','31281','32173') 
 order by incident.ticketid desc {code}",
DF-64,37200.0,setup service accounts test ,setup service accounts test,Story,Done,Jonathan Yun,Medium,,,,Maximo,Data Ingestion,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta",svc_databricks_maximo_test,"Problem Statement:

Goal / Outcome:

Scope:
- 

Out of Scope:
- 

Acceptance Criteria:
1) Given <state> When <action> Then <result>
2) Given <state> When <action> Then <result>

Data / Interfaces:

Dependencies:

Risks & Assumptions:

Definition of Done:
- AC pasan en dev/QA
- Docs actualizadas (link)
- Alertas/monitoring (si aplica)
"
DF-63,37199.0,setup service accounts dev,setup service accounts dev,Story,Done,Jonathan Yun,Medium,,,,Maximo,Data Ingestion,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta",svc_databricks_maximo_dev,"Problem Statement:

Goal / Outcome:

Scope:
- 

Out of Scope:
- 

Acceptance Criteria:
1) Given <state> When <action> Then <result>
2) Given <state> When <action> Then <result>

Data / Interfaces:

Dependencies:

Risks & Assumptions:

Definition of Done:
- AC pasan en dev/QA
- Docs actualizadas (link)
- Alertas/monitoring (si aplica)
"
DF-62,37198.0,define base tables for replication,define base tables for replication,Story,Done,Jonathan Yun,Medium,,,,Maximo,Data Ingestion,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","summarized in epic [https://keyera.atlassian.net/browse/DF-61|https://keyera.atlassian.net/browse/DF-61|smart-link]  

defined:

* po
* poline
* ticket
* longdescription
* ticketspec
* companies
* worklog
* workorder
* {{synonymdomain}}
* maxattribute
* maxobjcfg",
DF-61,37197.0,Maximo HS Event List & Weekly Dashboards,Maximo HS Event List & Weekly Dashboards,Epic,Deploy,Jonathan Yun,Low,,,,Maximo,,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","Get H&S Event List (thin slice) into Databricks for use in Databricks Workspace and usabled in PowerBI (workspace) and desktop 



*TABLES*: <BRONZE> SELECT * EZ PZ

* ticket
* ticketspec
* companies
* worklog
* workorder
* po
* poline
* longdescription
* {{MAXOBJECTCFG}}
* maxattribue
* {{synonymdomain}}



*SILVER:* 

* 2 SILVER TABLES in Databricks (PER Mateo – previously gold per Zack) views: done – added qrys
** woactivity [https://keyera.atlassian.net/browse/DF-602|https://keyera.atlassian.net/browse/DF-602|smart-link] 
** incident[https://keyera.atlassian.net/browse/DF-603|https://keyera.atlassian.net/browse/DF-603|smart-link] 

*GOLD*:

* *HS SCHEMA*: 1 GOLD DATASET: HS Event List 
** this is a query is the Maximo built in Event List Report that is subscribed (with various parameters) and emailed to various members/groups
** query attached/dev in: [https://keyera.atlassian.net/browse/DF-65|https://keyera.atlassian.net/browse/DF-65|smart-link] 
* *Dashboard/Report*: Events Reported Last 7 Days 
** databricks (in dbk WORKSPACE) todo dashboard
** powerbi (in pbi)
* *MAXIMO GOLD LEVEL TABLES W/ FRIENDLY NAMES:* 
** incident
** woactivity
** use script here to generate friendly col names for each of the following tables – use to pop the comments
*** [https://keyera.atlassian.net/browse/DF-66|https://keyera.atlassian.net/browse/DF-66|smart-link] 
*** ticket
*** ticketspec
*** companies
*** worklog
*** workorder
*** longdescription
* other (PO) tables handled in another epic to move tables with confidential data (new epic) 



*DEV SQL CONNECTION:* 

SQL SERVER:       cgymsdbd034
DATABASE:         MXDEV6

sql auth acn: svc_databricks_maximo_dev / <secret>

-ad user: svc_maxdbk_share_dev-
-pwd: <<secretserver>>-



*TEST SQL CONNECTION*

SQL SERVER:       CGYMSDBT140
DATABASE:         ReplMXTest-Sub (might change)
sql auth account: svc_databricks_maximo_test
pwd: <<secretserver>>



*SECONDARY INGESTION METHOD: VIA API*

*API SCHEMA* [http://mxdev6.keyera.com/maximo/oslc/jsonschemas/key_eventqbr?_lid=mxintadm&_lpwd=mxintadm|http://mxdev6.keyera.com/maximo/oslc/jsonschemas/key_eventqbr?_lid=mxintadm&_lpwd=mxintadm]

*API DATA* [http://mxdev6.keyera.com/maxrest/rest/os/key_eventqbr/?_lid=mxintadm&_lpwd=mxintadm&_format=json&_compact=1&changedate=~gt~2025-01-01|http://mxdev6.keyera.com/maxrest/rest/os/key_eventqbr/?_lid=mxintadm&_lpwd=mxintadm&_format=json&_compact=1&changedate=~gt~2025-01-01]

SWAGGER DEF:
[http://mxdev6.keyera.com/maximo/oas3/api.html|http://mxdev6.keyera.com/maximo/oas3/api.html] 

login mxintadm/mxintadm",
DF-58,37190.0,"Define, Create, and Load Metadata for Data Products","Define, Create, and Load Metadata for Data Products",Story,User Testing,Zackary Oleitschuk,Highest,,,,Emissions,Platform Management,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","For all gold tables created for the data product:

# Define and validate metadata with the business (use the template found at: [TM-Data Foundations - Documents|https://keyeracorp.sharepoint.com/sites/TM-DataFoundations/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FTM%2DDataFoundations%2FShared%20Documents%2FGeneral%2FBusiness%20Engagement%20%2D%20Metadata%20Output&p=true&ga=1&xsdata=MDV8MDJ8fDMxN2ZmODI2YjBmODQ4OTQ4ZmI4MDhkZDg5YTNkNDkxfDZlZjQ5YjFkZWZkNTQ5MzNiMzdjNWUxNWMxYjEwNTM2fDB8MHw2Mzg4MTgwNTg4OTU0NjIzMjh8VW5rbm93bnxWR1ZoYlhOVFpXTjFjbWwwZVZObGNuWnBZMlY4ZXlKV0lqb2lNQzR3TGpBd01EQWlMQ0pRSWpvaVYybHVNeklpTENKQlRpSTZJazkwYUdWeUlpd2lWMVFpT2pFeGZRPT18MXxMMk5vWVhSekx6RTVPbTFsWlhScGJtZGZUakpLYUU1SFdUTk9SRkYwVDBScmVVNTVNREJPZWswelRGZEthMDFxU1hSTmFsSnNUWHBqTWsxcVZtbFpha0V5UUhSb2NtVmhaQzUyTWk5dFpYTnpZV2RsY3k4eE56UTJNakE1TURnNE16RTR8OWM5MzNkOGU2ZDZhNDE3ZjJkNDQwOGRkODlhM2Q0OGZ8ODU1MDU1NDRhZGY3NGI5MmI2ZDNiYmMwYzUxZmY3ZTg%3D&sdata=emdxOFVidXhKS040bmp4N3o5TUQwd29FRFc3WUxRSkEvZjlHaHNTcjM0VT0%3D&ovuser=6ef49b1d-efd5-4933-b37c-5e15c1b10536%2CScott_Drennan%40keyera.com]).
## Table and Column descriptions.
## Table:
### Data Sensitivity Classification
### Retention Policy
### Quality Requirements
### PII Flag
### Data Owner
### Data Steward
# Load metadata into Unity Catalog.",
DF-57,37188.0,Create Freshservice Catalog Item(s) and Provisioning Workflows - Sustainability (Wapiti Emissions),Create Freshservice Catalog Item(s) and Provisioning Workflows - Sustainability (Wapiti Emissions),Story,Done,Jordan Richter,Highest,,,,Emissions,FreshService,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta","# Freshservice catalog items and approval workflows must be created for:
## AD groups identified in the Business User Access Package; approver should be the Data Steward.
## AD groups identified in the Data Product Access Package; approver should be the Data Steward.

Note: In general this will result in 3 Freshservice catalog items:

# Viewer access to the data stored in a specific Unity Catalog location (for Silver and/or Gold data).
# Viewer access to the PowerBI apps and/or Databricks Dashboards created.
# Analyst access to the appropriate business team Databricks workspace, Power BI workspace, Unity Catalog locations, and Databricks compute resources.",
DF-56,37187.0,Complete Sustainability Data for Wapiti,Complete Sustainability Data for Wapiti,Story,Done,Colton Reid,Highest,,,,Emissions,Data Analysis,True,True,False,False,55,"1) Given estado inicial conocido When ejecuto la acción Then obtengo resultado verificable
2) Given un error esperado When ocurre Then queda log y rollback/alerta",Complete all tabs in sustainability dataset for Wapiti back to January 2024. Dataset is located here: [Sustainability External Sharing Site - Data Automation - All Documents|https://keyeracorp.sharepoint.com/sites/EXT-GS-SustainabilityExternalSharing/Data%20Automation/Forms/AllItems.aspx?xsdata=MDV8MDJ8fDcxZDFlZmMwZTY2YjQ4NjRlYzZjMDhkZDg5YTIyNjEwfDZlZjQ5YjFkZWZkNTQ5MzNiMzdjNWUxNWMxYjEwNTM2fDB8MHw2Mzg4MTgwNTE2NzI4MjkwMzZ8VW5rbm93bnxWR1ZoYlhOVFpXTjFjbWwwZVZObGNuWnBZMlY4ZXlKV0lqb2lNQzR3TGpBd01EQWlMQ0pRSWpvaVYybHVNeklpTENKQlRpSTZJazkwYUdWeUlpd2lWMVFpT2pFeGZRPT18MXxMMk5vWVhSekx6RTVPbTFsWlhScGJtZGZUakpLYUU1SFdUTk9SRkYwVDBScmVVNTVNREJPZWswelRGZEthMDFxU1hSTmFsSnNUWHBqTWsxcVZtbFpha0V5UUhSb2NtVmhaQzUyTWk5dFpYTnpZV2RsY3k4eE56UTJNakE0TXpZMk1UTXl8NTMyNjNjMzdmNTNlNDM0NmVjNmMwOGRkODlhMjI2MTB8MGVlZjliNDAwNzZlNGFmMzlhNjQ4M2Q4NGM1OGE1MmE%3D&sdata=SVdReWwzdHNib3dURXhFcGllNWR2Y21zVTJhU1Jlc1Y3cXJtTUNuTC9rQT0%3D&ovuser=6ef49b1d-efd5-4933-b37c-5e15c1b10536%2CScott_Drennan%40keyera.com],
